movieID|Name|IMDBid|Year|url|rtid|crating|cscore|arating|ascore|genre
1|Toy story|0114709|1995|http://ia.media-imdb.com/images/M/MV5BMTMwNDU0NTY2Nl5BMl5BanBnXkFtZTcwOTUxOTM5Mw@@._V1._SX214_CR0,0,214,314_.jpg|toy_story|9|100|3.7|81|Adventure^Animation^Children^Comedy^Fantasy
2|Jumanji|0113497|1995|http://ia.media-imdb.com/images/M/MV5BMzM5NjE1OTMxNV5BMl5BanBnXkFtZTcwNDY2MzEzMQ@@._V1._SY314_CR3,0,214,314_.jpg|1068044-jumanji|5.6|40|3.2|61|Adventure^Children^Fantasy
3|Grumpy Old Men|0107050|1993|http://ia.media-imdb.com/images/M/MV5BMTI5MTgyMzE0OF5BMl5BanBnXkFtZTYwNzAyNjg5._V1._SX214_CR0,0,214,314_.jpg|grumpy_old_men|5.9|83|3.2|66|Comedy^Romance
4|Waiting to Exhale|0114885|1995|http://ia.media-imdb.com/images/M/MV5BMTczMTMyMTgyM15BMl5BanBnXkFtZTcwOTc4OTQyMQ@@._V1._SY314_CR4,0,214,314_.jpg|waiting_to_exhale|5.6|45|3.3|79|Comedy^Drama^Romance
5|Father of the Bride Part II|0113041|1995|http://ia.media-imdb.com/images/M/MV5BMTg1NDc2MjExOF5BMl5BanBnXkFtZTcwNjU1NDAzMQ@@._V1._SY314_CR5,0,214,314_.jpg|father_of_the_bride_part_ii|5.3|20|3|64|Comedy
6|Heat|0113277|1995|http://ia.media-imdb.com/images/M/MV5BMTM1NDc4ODkxNV5BMl5BanBnXkFtZTcwNTI4ODE3MQ@@._V1._SY314_CR1,0,214,314_.jpg|1068182-heat|7.7|82|3.9|92|Action^Crime^Thriller
7|Sabrina|0047437|1954|http://ia.media-imdb.com/images/M/MV5BMTYyNDM1NTQ5Nl5BMl5BanBnXkFtZTcwMTA5NjEwMg@@._V1._SY314_CR50,0,214,314_.jpg|1018047-sabrina|7.4|100|3.8|87|Comedy^Romance
8|Tom and Huck|0112302|1995|http://ia.media-imdb.com/images/M/MV5BMTUxNDYzMDY1OV5BMl5BanBnXkFtZTcwNDA2MzYxMQ@@._V1._SY314_CR2,0,214,314_.jpg|tom_and_huck|4.2|50|2.7|45|Adventure^Children
9|Sudden Death|0114576|1995|http://ia.media-imdb.com/images/M/MV5BMTcwMTU2OTMxNV5BMl5BanBnXkFtZTcwMzg3MTYyMQ@@._V1._SY314_CR0,0,214,314_.jpg|1068470-sudden_death|5.2|55|2.6|40|Action
10|GoldenEye|0113189|1995|http://ia.media-imdb.com/images/M/MV5BNTE1OTExNjU1M15BMl5BanBnXkFtZTcwMTQzNjAwMQ@@._V1._SX214_CR0,0,214,314_.jpg|goldeneye|6.8|63|3.4|78|Action^Adventure^Thriller
11|The American President|0112346|1995|http://ia.media-imdb.com/images/M/MV5BMTI5NDU2NDYzOF5BMl5BanBnXkFtZTYwNDk5MDI5._V1._SY314_CR5,0,214,314_.jpg|american_president|7|88|3.2|71|Comedy^Drama^Romance
